iter	Passed	Remaining
143	722	4292
144	724	4271
145	726	4250
146	729	4230
147	731	4210
148	733	4190
149	736	4171
150	738	4151
151	740	4132
152	742	4113
153	745	4094
154	747	4075
155	749	4057
156	752	4040
157	754	4021
158	756	4003
159	759	3986
160	761	3968
161	763	3951
162	766	3934
163	769	3920
164	774	3918
165	778	3912
166	782	3904
167	787	3901
168	790	3885
169	792	3869
170	794	3853
171	798	3843
172	800	3827
173	807	3831
174	812	3828
175	816	3823
176	819	3811
177	822	3796
178	824	3781
179	826	3766
180	829	3751
181	831	3736
182	833	3722
183	836	3707
184	838	3693
185	840	3680
186	843	3666
187	845	3652
188	847	3638
189	850	3624
190	852	3611
191	854	3597
192	857	3584
193	859	3571
194	861	3558
195	864	3545
196	866	3532
197	868	3519
198	871	3506
199	873	3494
200	875	3481
201	878	3469
202	880	3456
203	883	3448
204	887	3442
205	890	3430
206	892	3418
207	894	3406
208	897	3395
209	899	3383
210	901	3371
211	904	3360
212	906	3348
213	908	3337
214	913	3335
215	917	3329
216	920	3323
217	923	3311
218	927	3308
219	930	3298
220	933	3291
221	936	3281
222	939	3274
223	944	3271
224	949	3270
225	952	3262
226	955	3252
227	957	3241
228	959	3230
229	961	3220
230	964	3210
231	967	3203
232	973	3204
233	975	3194
234	980	3190
235	984	3188
236	988	3181
237	990	3170
238	992	3160
239	995	3151
240	997	3141
241	999	3131
242	1001	3121
243	1005	3116
244	1008	3109
245	1011	3099
246	1013	3090
247	1015	3080
248	1018	3071
249	1020	3061
250	1022	3052
251	1025	3042
252	1027	3033
253	1029	3024
254	1033	3018
255	1036	3013
256	1039	3005
257	1041	2996
258	1044	2987
259	1046	2978
260	1048	2969
261	1051	2960
262	1053	2951
263	1055	2943
264	1057	2934
265	1060	2925
266	1063	2919
267	1065	2911
268	1068	2903
269	1070	2894
270	1072	2886
271	1075	2877
272	1077	2869
273	1079	2860
274	1082	2852
275	1084	2844
276	1088	2841
277	1092	2838
278	1096	2832
279	1101	2832
280	1103	2824
281	1106	2816
282	1108	2808
283	1110	2800
284	1113	2792
285	1115	2785
286	1117	2777
287	1120	2769
288	1122	2761
289	1124	2753
290	1127	2746
291	1129	2738
292	1131	2730
293	1134	2723
294	1136	2715
295	1138	2708
296	1142	2705
297	1145	2697
298	1147	2690
299	1149	2682
300	1152	2675
301	1154	2668
302	1156	2661
303	1159	2653
304	1161	2647
305	1163	2639
306	1167	2634
307	1169	2628
308	1174	2626
309	1179	2626
310	1183	2621
311	1188	2621
312	1190	2613
313	1196	2615
314	1199	2608
315	1207	2612
316	1209	2605
317	1215	2606
318	1222	2609
319	1225	2603
320	1227	2596
321	1232	2595
322	1239	2596
323	1244	2597
324	1247	2591
325	1253	2590
326	1261	2597
327	1266	2595
328	1269	2589
329	1272	2582
330	1279	2587
331	1283	2582
332	1287	2579
333	1291	2574
334	1295	2571
335	1299	2568
336	1304	2565
337	1307	2560
338	1309	2553
339	1316	2556
340	1320	2552
341	1325	2549
342	1329	2546
343	1333	2542
344	1337	2539
345	1341	2536
346	1345	2532
347	1349	2528
348	1353	2525
349	1357	2521
350	1361	2517
351	1366	2515
352	1374	2518
353	1381	2520
354	1392	2529
355	1396	2525
356	1401	2523
357	1405	2520
358	1410	2517
359	1414	2515
360	1418	2510
361	1422	2507
362	1426	2502
363	1430	2499
364	1435	2497
365	1438	2492
366	1443	2489
367	1448	2487
368	1452	2484
369	1456	2479
370	1459	2474
371	1465	2473
372	1469	2470
373	1473	2465
374	1478	2464
375	1482	2461
376	1487	2457
377	1491	2454
378	1496	2451
379	1500	2448
380	1506	2446
381	1507	2439
382	1509	2432
383	1515	2431
384	1517	2424
385	1521	2420
386	1526	2417
387	1530	2413
388	1532	2406
389	1534	2399
390	1535	2392
391	1537	2385
392	1539	2378
393	1541	2371
394	1543	2364
395	1546	2359
396	1550	2355
397	1555	2352
398	1559	2348
399	1562	2343
400	1566	2339
401	1572	2339
402	1577	2336
403	1580	2332
404	1585	2329
405	1588	2324
406	1593	2321
407	1597	2318
408	1602	2315
409	1606	2311
410	1609	2306
411	1614	2303
412	1618	2299
413	1621	2295
414	1626	2292
415	1629	2287
416	1633	2284
417	1638	2281
418	1642	2276
419	1646	2273
420	1650	2269
421	1655	2266
422	1658	2262
423	1662	2259
424	1666	2254
425	1670	2251
426	1674	2247
427	1679	2243
